File,CEGAR,Cheetah,S52SAT,LCK,KSP
QS51_8_1.cnf_0.01_1_1.intohylo,0.1137151718139648,0.1450476646423339,0.8518457412719727,-1.0,-1.0
QS51_8_1.cnf_0.01_1_2.intohylo,0.1550295352935791,0.1739027500152588,1.1175498962402344,-1.0,-1.0
QS51_8_1.cnf_0.01_3_1.intohylo,0.1016309261322021,0.1979873180389404,0.8079323768615723,-1.0,-1.0
QS51_8_1.cnf_0.01_3_2.intohylo,0.1186072826385498,0.1759274005889892,0.9103012084960938,-1.0,-1.0
QS51_8_1.cnf_0.05_1_1.intohylo,0.1266212463378906,0.2376589775085449,6.542418479919434,-1.0,-1.0
QS51_8_1.cnf_0.05_1_2.intohylo,0.1239840984344482,0.2023265361785888,5.973994016647339,-1.0,-1.0
QS51_8_1.cnf_0.05_3_1.intohylo,0.1210658550262451,0.2616658210754394,5.92280387878418,-1.0,-1.0
QS51_8_1.cnf_0.05_3_2.intohylo,0.1281898021697998,0.2427012920379638,7.102871417999268,-1.0,-1.0
QS51_8_1.cnf_0.0_0_1.intohylo,0.1104757785797119,0.1344697475433349,0.5838234424591064,-1.0,-1.0
QS51_8_1.cnf_0.1_1_1.intohylo,0.1867120265960693,1.4945919513702393,31.88084936141968,-1.0,-1.0
QS51_8_1.cnf_0.1_1_2.intohylo,0.2032163143157959,0.8942463397979736,-1.0,-1.0,-1.0
QS51_8_1.cnf_1.0_1_1.intohylo,4.073801279067993,2.0964608192443848,-1.0,-1.0,-1.0
QS51_8_2.cnf_0.01_1_1.intohylo,0.3049495220184326,0.6641223430633545,4.001282215118408,-1.0,-1.0
QS51_8_2.cnf_0.01_1_2.intohylo,0.2592871189117431,0.6059215068817139,3.336806058883667,-1.0,-1.0
QS51_8_2.cnf_0.01_3_1.intohylo,0.279426097869873,0.848116397857666,3.224460363388061,-1.0,-1.0
QS51_8_2.cnf_0.01_3_2.intohylo,0.2735440731048584,0.8422515392303467,3.5638017654418945,-1.0,-1.0
QS51_8_2.cnf_0.05_1_1.intohylo,0.9304265975952148,0.7055938243865967,-1.0,-1.0,-1.0
QS51_8_2.cnf_0.05_1_2.intohylo,0.3159253597259521,1.0723612308502195,-1.0,-1.0,-1.0
QS51_8_2.cnf_0.05_3_1.intohylo,0.3219375610351562,1.208247423171997,-1.0,-1.0,-1.0
QS51_8_2.cnf_0.05_3_2.intohylo,0.4500980377197265,1.066361904144287,-1.0,-1.0,-1.0
QS51_8_2.cnf_0.0_0_1.intohylo,0.2860803604125976,0.4763352870941162,2.096181154251098,-1.0,-1.0
QS51_8_2.cnf_0.1_1_1.intohylo,0.8576812744140625,4.071170091629028,-1.0,-1.0,-1.0
QS51_8_2.cnf_0.1_1_2.intohylo,0.9489457607269288,1.8078932762146,-1.0,-1.0,-1.0
QS51_8_2.cnf_1.0_1_1.intohylo,26.760245323181152,6.053804636001587,-1.0,-1.0,-1.0
QS51_8_3.cnf_0.01_1_1.intohylo,0.6274995803833008,1.4368352890014648,8.784184455871582,-1.0,-1.0
QS51_8_3.cnf_0.01_1_2.intohylo,0.4137096405029297,1.394000768661499,7.681062936782837,-1.0,-1.0
QS51_8_3.cnf_0.01_3_1.intohylo,0.588172197341919,2.0558433532714844,8.661138534545898,-1.0,-1.0
QS51_8_3.cnf_0.01_3_2.intohylo,0.5049254894256592,2.170257329940796,8.513647317886353,-1.0,-1.0
QS51_8_3.cnf_0.05_1_1.intohylo,5.243756771087647,2.7255029678344727,-1.0,-1.0,-1.0
QS51_8_3.cnf_0.05_1_2.intohylo,6.754986763000488,1.808826208114624,-1.0,-1.0,-1.0
QS51_8_3.cnf_0.05_3_1.intohylo,3.2393720149993896,2.40645170211792,-1.0,-1.0,-1.0
QS51_8_3.cnf_0.05_3_2.intohylo,3.3881397247314453,2.626340627670288,-1.0,-1.0,-1.0
QS51_8_3.cnf_0.0_0_1.intohylo,0.5443801879882812,1.2415237426757812,5.092421770095825,-1.0,-1.0
QS51_8_3.cnf_0.1_1_1.intohylo,2.334400653839112,8.091947555541992,-1.0,-1.0,-1.0
QS51_8_3.cnf_0.1_1_2.intohylo,1.9721426963806152,6.878319025039673,-1.0,-1.0,-1.0
QS51_8_3.cnf_1.0_1_1.intohylo,-1.0,13.772298097610474,-1.0,-1.0,-1.0
QS51_8_4.cnf_0.01_1_1.intohylo,2.9205098152160645,2.821781873703003,17.466485738754272,-1.0,-1.0
QS51_8_4.cnf_0.01_1_2.intohylo,0.6955451965332031,2.932281017303467,16.510284423828125,-1.0,-1.0
QS51_8_4.cnf_0.01_3_1.intohylo,1.9047775268554688,4.58707594871521,16.43510413169861,-1.0,-1.0
QS51_8_4.cnf_0.01_3_2.intohylo,1.2287695407867432,3.869119644165039,16.24923062324524,-1.0,-1.0
QS51_8_4.cnf_0.05_1_1.intohylo,23.999993562698364,3.387457132339477,-1.0,-1.0,-1.0
QS51_8_4.cnf_0.05_1_2.intohylo,-1.0,-1.0,-1.0,-1.0,-1.0
QS51_8_4.cnf_0.05_3_1.intohylo,-1.0,8.283557653427124,-1.0,-1.0,-1.0
QS51_8_4.cnf_0.05_3_2.intohylo,-1.0,-1.0,-1.0,-1.0,-1.0
QS51_8_4.cnf_0.0_0_1.intohylo,1.6079933643341064,2.591402292251587,10.249312400817873,-1.0,-1.0
QS51_8_4.cnf_0.1_1_1.intohylo,7.548338413238525,14.876300573349,-1.0,-1.0,-1.0
QS51_8_4.cnf_0.1_1_2.intohylo,4.379412412643433,10.380447626113892,-1.0,-1.0,-1.0
QS51_8_4.cnf_1.0_1_1.intohylo,-1.0,26.10092806816101,-1.0,-1.0,-1.0
QS51_8_5.cnf_0.01_1_1.intohylo,1.456934928894043,5.16749906539917,24.33295106887817,-1.0,-1.0
QS51_8_5.cnf_0.01_1_2.intohylo,2.1534008979797363,5.968522787094116,26.809048414230347,-1.0,-1.0
QS51_8_5.cnf_0.01_3_1.intohylo,3.2847466468811035,6.352488517761231,26.12020206451416,-1.0,-1.0
QS51_8_5.cnf_0.01_3_2.intohylo,6.500338315963745,8.196779489517212,26.95125150680542,-1.0,-1.0
QS51_8_5.cnf_0.05_1_1.intohylo,-1.0,5.824638366699219,-1.0,-1.0,-1.0
QS51_8_5.cnf_0.05_1_2.intohylo,-1.0,15.208882331848145,-1.0,-1.0,-1.0
QS51_8_5.cnf_0.05_3_1.intohylo,-1.0,8.55797004699707,-1.0,-1.0,-1.0
QS51_8_5.cnf_0.05_3_2.intohylo,-1.0,12.700173377990724,-1.0,-1.0,-1.0
QS51_8_5.cnf_0.0_0_1.intohylo,1.2561731338500977,3.347423791885376,16.541171550750732,-1.0,-1.0
QS51_8_5.cnf_0.1_1_1.intohylo,20.617834329605103,17.490140199661255,-1.0,-1.0,-1.0
QS51_8_5.cnf_0.1_1_2.intohylo,15.139979124069214,18.078008890151978,-1.0,-1.0,-1.0
QS51_8_5.cnf_1.0_1_1.intohylo,-1.0,-1.0,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.01_1_1.intohylo,1.1722934246063232,6.907201766967773,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.01_1_2.intohylo,2.328907251358032,7.00307822227478,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.01_3_1.intohylo,1.259824514389038,9.619950294494627,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.01_3_2.intohylo,1.273545503616333,9.305469512939451,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.05_1_1.intohylo,21.47804856300354,17.75299382209778,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.05_1_2.intohylo,2.558174133300781,8.466613292694092,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.05_3_1.intohylo,11.135623693466188,17.14371347427368,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.05_3_2.intohylo,-1.0,15.140990734100342,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.0_0_1.intohylo,2.129188537597656,5.750851392745972,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.1_1_1.intohylo,-1.0,26.62994122505188,-1.0,-1.0,-1.0
QS51_8_6.cnf_0.1_1_2.intohylo,-1.0,-1.0,-1.0,-1.0,-1.0
QS51_8_6.cnf_1.0_1_1.intohylo,-1.0,-1.0,-1.0,-1.0,-1.0
QS52_5_1.cnf_0.01_1_1.intohylo,0.0325703620910644,0.0203452110290527,0.0908148288726806,-1.0,-1.0
QS52_5_1.cnf_0.01_1_2.intohylo,0.0215673446655273,0.0127568244934082,0.0790784358978271,-1.0,-1.0
QS52_5_1.cnf_0.01_3_1.intohylo,0.0178298950195312,0.0135910511016845,0.0766918659210205,-1.0,-1.0
QS52_5_1.cnf_0.01_3_2.intohylo,0.0189254283905029,0.0143907070159912,0.0847179889678955,-1.0,-1.0
QS52_5_1.cnf_0.05_1_1.intohylo,0.0213391780853271,0.0183658599853515,0.2300517559051513,-1.0,-1.0
QS52_5_1.cnf_0.05_1_2.intohylo,0.0214924812316894,0.020719289779663,0.1555266380310058,-1.0,-1.0
QS52_5_1.cnf_0.05_3_1.intohylo,0.0209262371063232,0.0170543193817138,0.1478350162506103,-1.0,-1.0
QS52_5_1.cnf_0.05_3_2.intohylo,0.0217041969299316,0.0174207687377929,0.1653609275817871,-1.0,-1.0
QS52_5_1.cnf_0.0_0_1.intohylo,0.020486831665039,0.0136892795562744,0.0714457035064697,-1.0,18.861993312835693
QS52_5_1.cnf_0.1_1_1.intohylo,0.0218265056610107,0.0301549434661865,0.4410557746887207,-1.0,-1.0
QS52_5_1.cnf_0.1_1_2.intohylo,0.0225195884704589,0.0228712558746337,0.4384236335754394,-1.0,-1.0
QS52_5_1.cnf_1.0_1_1.intohylo,0.1170880794525146,0.071500539779663,15.92794418334961,-1.0,-1.0
QS52_5_2.cnf_0.01_1_1.intohylo,0.0340607166290283,0.0244007110595703,0.1427140235900879,-1.0,-1.0
QS52_5_2.cnf_0.01_1_2.intohylo,0.0292205810546875,0.0261664390563964,0.1271963119506836,-1.0,-1.0
QS52_5_2.cnf_0.01_3_1.intohylo,0.029900312423706,0.0265679359436035,0.123478889465332,-1.0,-1.0
QS52_5_2.cnf_0.01_3_2.intohylo,0.0302069187164306,0.0264313220977783,0.1251072883605957,-1.0,-1.0
QS52_5_2.cnf_0.05_1_1.intohylo,0.0320229530334472,0.0393781661987304,0.4133539199829101,-1.0,-1.0
QS52_5_2.cnf_0.05_1_2.intohylo,0.0329124927520751,0.0311934947967529,0.4406232833862304,-1.0,-1.0
QS52_5_2.cnf_0.05_3_1.intohylo,0.0350713729858398,0.036076545715332,0.3897609710693359,-1.0,-1.0
QS52_5_2.cnf_0.05_3_2.intohylo,0.0342967510223388,0.0426828861236572,0.5765764713287354,-1.0,-1.0
QS52_5_2.cnf_0.0_0_1.intohylo,0.032947301864624,0.0289325714111328,0.1127171516418457,-1.0,-1.0
QS52_5_2.cnf_0.1_1_1.intohylo,0.0563416481018066,0.0679273605346679,1.6937260627746582,-1.0,-1.0
QS52_5_2.cnf_0.1_1_2.intohylo,0.0376911163330078,0.0578804016113281,1.455162525177002,-1.0,-1.0
QS52_5_2.cnf_1.0_1_1.intohylo,0.5007040500640869,0.1874961853027343,-1.0,-1.0,-1.0
QS53_7_1.cnf_0.01_1_1.intohylo,0.074167251586914,0.0585465431213378,0.2735800743103027,-1.0,-1.0
QS53_7_1.cnf_0.01_1_2.intohylo,0.0653846263885498,0.0605132579803466,0.2914743423461914,-1.0,-1.0
QS53_7_1.cnf_0.01_3_1.intohylo,0.0574479103088378,0.134918212890625,0.3379895687103271,-1.0,-1.0
QS53_7_1.cnf_0.01_3_2.intohylo,1.2695269584655762,0.0789771080017089,0.3165192604064941,-1.0,-1.0
QS53_7_1.cnf_0.05_1_1.intohylo,0.04966473579406738,0.0760653018951416,1.6781704425811768,-1.0,-1.0
QS53_7_1.cnf_0.05_1_2.intohylo,0.0678248405456543,0.0769851207733154,1.6315069198608398,-1.0,-1.0
QS53_7_1.cnf_0.05_3_1.intohylo,0.081716775894165,0.1187360286712646,2.1787593364715576,-1.0,-1.0
QS53_7_1.cnf_0.05_3_2.intohylo,0.0617871284484863,0.0856437683105468,1.5367844104766846,-1.0,-1.0
QS53_7_1.cnf_0.0_0_1.intohylo,0.0532333850860595,0.0475454330444335,0.2218275070190429,-1.0,-1.0
QS53_7_1.cnf_0.1_1_1.intohylo,0.0769085884094238,0.1546733379364013,6.846836805343628,-1.0,-1.0
QS53_7_1.cnf_0.1_1_2.intohylo,0.0886549949645996,0.1408400535583496,8.629541635513306,-1.0,-1.0
QS53_7_1.cnf_1.0_1_1.intohylo,1.2854759693145752,0.5537765026092529,-1.0,-1.0,-1.0
QS53_7_2.cnf_0.01_1_1.intohylo,0.09852957725524902,0.2121922969818115,1.0373220443725586,-1.0,-1.0
QS53_7_2.cnf_0.01_1_2.intohylo,0.042198896408081055,0.1804416179656982,0.9818181991577148,-1.0,-1.0
QS53_7_2.cnf_0.01_3_1.intohylo,6.652331352233887,0.2590525150299072,1.0996160507202148,-1.0,-1.0
QS53_7_2.cnf_0.01_3_2.intohylo,3.734822988510132,0.2196214199066162,1.0293858051300049,-1.0,-1.0
QS53_7_2.cnf_0.05_1_1.intohylo,0.1345844268798828,0.2820663452148437,8.379680156707764,-1.0,-1.0
QS53_7_2.cnf_0.05_1_2.intohylo,0.1439962387084961,0.2763161659240722,7.893032789230347,-1.0,-1.0
QS53_7_2.cnf_0.05_3_1.intohylo,0.1522595882415771,0.3232812881469726,7.538761615753174,-1.0,-1.0
QS53_7_2.cnf_0.05_3_2.intohylo,0.1300632953643798,0.2979257106781006,7.307668685913086,-1.0,-1.0
QS53_7_2.cnf_0.0_0_1.intohylo,0.1082572937011718,0.1595079898834228,0.684053897857666,-1.0,-1.0
QS53_7_2.cnf_0.1_1_1.intohylo,0.306375503540039,0.3054587841033935,-1.0,-1.0,-1.0
QS53_7_2.cnf_0.1_1_2.intohylo,0.3226470947265625,0.3853285312652588,-1.0,-1.0,-1.0
